,Title,Released Year,Scores,Adjusted Score,Info,Synopsis,Director,Cast
23,Bloodsport,1988,40,41.213,"This is where it all began for the Muscles from Brussels, but beyond Van Damme's athleticism, Bloodsport is a cliched, virtually plotless exercise in action movie recycling.","U.S. soldier Frank Dux (Jean-Claude Van Damme) has come to Hong Kong to be accepted into the Kumite, a highly...",Newt Arnold,"Jean-Claude Van Damme, Leah Ayres, Donald Gibb, Norman Burton"
24,Blade,1998,55,60.63,"Though some may find the plot a bit lacking, Blade's action is fierce, plentiful, and appropriately stylish for a comic book adaptation.",British director Stephen Norrington helmed this David S. Goyer adaptation of the Marvel Comics character created in 1973 by scripter...,Stephen Norrington,"Wesley Snipes, Stephen Dorff, Kris Kristofferson, N'Bushe Wright"
25,Bad Boys,1995,43,46.859,"Bad Boys stars Will Smith and Martin Lawrence have enjoyable chemistry; unfortunately, director Michael Bay too often drowns it out with set pieces and explosions in place of an actual story.","Former video director Michael Bay had his first big hit with this action comedy, which also returned producers Jerry Bruckheimer...",Michael Bay,"Martin Lawrence, Will Smith, Téa Leoni, Tcheky Karyo"
26,Die Hard: With a Vengeance,1995,57,61.321,"Die Hard with a Vengeance benefits from Bruce Willis and Samuel L. Jackson's barbed interplay, but clatters to a bombastic finish in a vain effort to cover for an overall lack of fresh ideas.",Bruce Willis returns as misfit cop John McClane in the third film in the Die Hard series. McClane has fallen...,John McTiernan,"Bruce Willis, Jeremy Irons, Samuel L. Jackson, Graham Greene (II)"
27,The Running Man,1987,63,65.885,The Running Man is winking sci-fi satire with ridiculous clothes and workmanlike direction.,An unjustly accused prisoner in 2019 is given a slim chance at freedom if he enters a battle-to-the-death on a...,Paul Michael Glaser,"Arnold Schwarzenegger, Maria Conchita Alonso, Yaphet Kotto, Richard Dawson"
28,Code of Silence,1985,63,63.701,No consensus yet.,"Not to be confused with the 1960 film of the same name, this fast-paced karate action flick stars Chuck Norris,...",Andrew Davis,"Chuck Norris, Henry Silva, Bert Remsen, Mike Genovese"
29,Shoot 'Em Up,2007,67,72.135,"As preposterous and over-the-top as Shoot 'Em Up may be, its humor and non-stop action make for a very enjoyable film.",A mysterious man delivers a baby during a shootout and is entrusted with protecting the child from criminals out to...,Michael Davis,"Clive Owen, Paul Giamatti, Monica Bellucci, Stephen McHattie"
30,Crank,2006,61,63.659,"Crank's assaultive style and gleeful depravity may turn off casual action fans, but audiences seeking a strong dose of adrenaline will be thrilled by Jason Statham's raucous race against mortality.",A one-time freelance hitman who was just attempting to turn his life around is forced to keep his heart pumping...,Mark Neveldine,"Jason Statham, Amy Smart, Efren Ramirez, Jose Pablo Cantillo"
31,Machete,2010,72,77.439,"Machete is messy, violent, shallow, and tasteless -- and that's precisely the point of one of the summer's most cartoonishly enjoyable films.",A blade-wielding ex-federale hides out as a day laborer when he is double-crossed by a corrupt senator. ...,Ethan Maniquis,"Danny Trejo, Robert De Niro, Jessica Alba, Cheech Marin"
32,Drive,2011,92,100.165,"With its hyper-stylized blend of violence, music, and striking imagery, Drive represents a fully realized vision of arthouse action.","Ryan Gosling stars as a Los Angeles wheelman for hire, stunt driving for movie productions by day and steering getaway...",Nicolas Winding Refn,"Ryan Gosling, Carey Mulligan, Albert Brooks, Bryan Cranston"
33,Batman,1989,71,76.775,"An eerie, haunting spectacle, Batman succeeds as dark entertainment, even if Jack Nicholson's Joker too often overshadows the title character.","Jack Nicholson is the Joker, who emerged from a horrible accident as a maniacal criminal. Michael Keaton is the Caped...",Tim Burton,"Michael Keaton, Jack Nicholson, Kim Basinger, Robert Wuhl"
34,Under Siege,1992,79,80.427,"A well-directed action thriller that makes the most of its confined setting, Under Siege marks a high point for early '90s action -- and its star's spotty filmography.","Andrew Davis directed this exciting thriller starring Steven Seagal, sans ponytail, and featuring electric, over-the-top performances by Gary Busey and...",Andrew Davis,"Steven Seagal, Tommy Lee Jones, Gary Busey, Erika Eleniak"
35,Independence Day,1996,65,68.809,"The plot is thin and so is character development, but as a thrilling, spectacle-filled summer movie, Independence Day delivers.",A group of intrepid humans attempts to save the Earth from vicious extraterrestrials in this extremely popular science-fiction adventure. Borrowing...,Roland Emmerich,"Will Smith, Bill Pullman, Jeff Goldblum, Mary McDonnell"
36,Bullitt,1968,97,100.52,Steve McQueen is cool as ice in this thrilling police procedural that also happens to contain arguably the greatest movie car chase ever.,Robert L. Pike's crime novel Mute Witness makes the transition to the big screen in this film from director Peter...,Peter Yates,"Steve McQueen, Robert Vaughn, Jacqueline Bisset, Don Gordon"
37,Wanted,2008,71,78.617,"Wanted is stylish, energetic popcorn fare with witty performances from Angelina Jolie (playing an expert assassin), James McAvoy, and Morgan Freeman that help to distract from its absurdly over-the-top plot.","Wesley's (James McAvoy) life is over - his pathetic old one, anyway... Fortunately, it is all because of a girl....",Timur Bekmambetov,"James McAvoy, Morgan Freeman, Angelina Jolie, Terence Stamp"
38,Superman,1978,94,101.313,"Superman deftly blends humor and gravitas, taking advantage of the perfectly cast Christopher Reeve to craft a loving, nostalgic tribute to an American pop culture icon.","Christopher Reeve as the Man of Steel in a big-budget epic with Oscar-winning effects. Marlon Brando, Margot Kidder, Gene Hackman,...",Richard Donner,"Marlon Brando, Christopher Reeve, Gene Hackman, Ned Beatty"
39,Ronin,1998,67,70.248,"Ronin earns comparisons to The French Connection with strong action, dynamic road chase scenes, and solid performances.","When an international team of former intelligence agents and Cold War warriors meet in a warehouse, their adventure of love,...",John Frankenheimer,"Robert De Niro, Jean Reno, Natascha McElhone, Stellan Skarsgard"
40,They Live,1988,86,90.576,"A politically subversive blend of horror and sci fi, They Live is an underrated genre film from John Carpenter.",A homeless drifter discovers a reason for the ever-widening gap between the rich and the poor: a conspiracy by non-human...,John Carpenter,"Roddy Piper, Keith David, Meg Foster, Peter Jason"
41,Cliffhanger,1993,68,71.877,"While it can't escape comparisons to the movies it borrows from, Cliffhanger is a tense, action-packed thriller and a showcase for the talents that made Sylvester Stallone a star.",Producer Neal H. Moritz and writer Joe Gazzam team with Studio Canal for this remake of the 1993 mountain-climbing adventure...,,
42,Marvel's The Avengers,2012,92,105.508,"Thanks to a script that emphasizes its heroes' humanity and a wealth of superpowered set pieces, The Avengers lives up to its hype and raises the bar for Marvel at the movies.","Marvel Studios presents Marvel's The Avengers-the Super Hero team up of a lifetime, featuring iconic Marvel Super Heroes Iron Man,...",,
