,Title,Released Year,Scores,Adjusted Score,Info,Synopsis,Director,Cast
85,Furious 7,2015,81,91.222,"Serving up a fresh round of over-the-top thrills while adding unexpected dramatic heft, Furious 7 keeps the franchise moving in more ways than one.","Continuing the global exploits in the unstoppable franchise built on speed, Vin Diesel, Paul Walker and Dwayne Johnson lead the...",James Wan,"Vin Diesel, Paul Walker, Jason Statham, Dwayne Johnson"
86,La Femme Nikita (Nikita),1990,88,90.564,A zany out-of-control thriller that gives lead Anne Parillaud a big character arc and plenty of emotional room to work within.,"The serpentine plotline of Luc Besson's La Femme Nikita begins its 117-minute slither when punkish, psychotic, and drug-ridden Nikita (Anne...",Luc Besson,"Tcheky Karyo, Anne Parillaud, Jeanne Moreau, Jean Reno"
87,Supercop,1996,96,98.251,"Blending hand-to-hand combat with breathtaking stunts and slapstick comedy, Supercop reminds us why Jackie Chan is one of the world's great entertainers.",A Hong Kong detective fights to stop a Chinese drug czar....,Stanley Tong,"Jackie Chan, Maggie Cheung, Kenneth Tsang Kong, Wah Yuen"
88,Dirty Harry,1971,89,93.609,"As tough and taciturn as its no-nonsense hero, Dirty Harry delivers a deceptively layered message without sacrificing an ounce of its solid action impact.","""You've got to ask yourself a question: 'do I feel lucky?' Well, do ya, punk?"" Dirty Harry provoked a critical...",Don Siegel,"Clint Eastwood, Andrew Robinson, Harry Guardino, John Mitchum"
89,Live Die Repeat: Edge of Tomorrow,2014,90,102.686,"Gripping, well-acted, funny, and clever, Edge of Tomorrow offers entertaining proof that Tom Cruise is still more than capable of shouldering the weight of a blockbuster action thriller.","The epic action of ""Edge of Tomorrow"" unfolds in a near future in which an alien race has hit the...",Doug Liman,"Tom Cruise, Emily Blunt, Bill Paxton, Jonas Armstrong"
90,X2: X-Men United,2003,85,92.177,"Tightly scripted, solidly acted, and impressively ambitious, X2: X-Men United is bigger and better than its predecessor -- and a benchmark for comic sequels in general.","When a failed assassination attempt occurs on the President's (Cotter Smith) life by the teleporting mutant Nightcrawler (Alan Cumming), it's...",Bryan Singer,"Hugh Jackman, Ian McKellen, Halle Berry, Famke Janssen"
91,The Fugitive,1993,96,101.994,"Exhilarating and intense, this high-impact chase thriller is a model of taut and efficient formula filmmaking, and it features Harrison Ford at his frantic best.",This 1993 box-office smash partly adheres to the 1960s TV series on which it is based and partly goes off...,Andrew Davis,"Harrison Ford, Tommy Lee Jones, Sela Ward, Julianne Moore"
92,Black Panther,2018,97,119.488,Black Panther elevates superhero cinema to thrilling new heights while telling one of the MCU's most absorbing stories -- and introducing some of its most fully realized characters.,"""Black Panther"" follows T'Challa who, after the events of ""Captain America: Civil War,"" returns home to the isolated, technologically advanced...",Ryan Coogler,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira"
93,Inception,2010,87,97.928,"Smart, innovative, and thrilling, Inception is that rare summer blockbuster that succeeds viscerally as well as intellectually.","Visionary filmmaker Christopher Nolan (Memento, The Dark Knight) writes and directs this psychological sci-fi action film about a thief who...",Christopher Nolan,"Leonardo DiCaprio, Ken Watanabe, Joseph Gordon-Levitt, Marion Cotillard"
94,Braveheart,1995,78,83.17,"Distractingly violent and historically dodgy, Mel Gibson's Braveheart justifies its epic length by delivering enough sweeping action, drama, and romance to match its ambition.","Mel Gibson, long-time heartthrob of the silver screen, came into his own as a director with Braveheart, an account of...",Mel Gibson,"Mel Gibson, Sophie Marceau, Patrick McGoohan, Catherine McCormack"
